,score,ibge,nom,codigo_uf,uf
0,-4.08256880733945,3521309,Ipuã,35,SP
1,-2.522935779816514,3123403,Doresópolis,31,MG
2,-2.266055045871559,3169109,Toledo,31,MG
3,-2.192660550458716,3157708,Santa Juliana,31,MG
4,-1.9908256880733943,3111804,Canápolis,31,MG
5,-1.9541284403669725,3104007,Araxá,31,MG
6,-1.9357798165137616,3127404,Gonçalves,31,MG
7,-1.880733944954128,3161304,São Francisco de Sales,31,MG
8,-1.8623853211009176,3143203,Monte Santo de Minas,31,MG
9,-1.8623853211009176,5220405,São Simão,52,GO
10,-1.8073394495412844,3138807,Luz,31,MG
11,-1.7706422018348622,3115805,Centralina,31,MG
12,-1.7706422018348622,3166600,Serra da Saudade,31,MG
13,-1.6972477064220186,3114808,Carvalhos,31,MG
14,-1.6055045871559637,3116902,Comendador Gomes,31,MG
15,-1.6055045871559632,3151503,Piumhi,31,MG
16,-1.5688073394495414,3149705,Perdigão,31,MG
17,-1.477064220183486,3155504,Rio Paranaíba,31,MG
18,-1.3669724770642202,3147907,Passos,31,MG
19,-1.3486238532110089,3137536,Lagoa Grande,31,MG
20,-1.2201834862385321,3531902,Morro Agudo,35,SP
21,-1.146788990825688,3121258,Delta,31,MG
22,-1.146788990825688,3130705,Indianópolis,31,MG
23,-1.0366972477064222,5204250,Cachoeira Dourada,52,GO
24,-1.0183486238532113,3129707,Ibiraci,31,MG
25,-1.0,3141900,Minduri,31,MG
26,-0.9816513761467891,3145000,Nova Ponte,31,MG
27,-0.9633027522935782,3169604,Tupaciguara,31,MG
28,-0.9633027522935778,3101409,Albertina,31,MG
29,-0.8348623853211006,3139706,Maravilhas,31,MG
30,-0.8348623853211006,3153400,Presidente Olegário,31,MG
31,-0.7798165137614683,3114550,Carneirinho,31,MG
32,-0.7798165137614683,3150703,Pirajuba,31,MG
33,-0.7798165137614679,3152600,Pouso Alto,31,MG
34,-0.7798165137614679,3165404,Sapucaí-Mirim,31,MG
35,-0.7247706422018347,3100807,Aguanil,31,MG
36,-0.7064220183486238,3110400,Camacho,31,MG
37,-0.6330275229357798,3168200,Tapiraí,31,MG
38,-0.6146788990825689,3130606,Inconfidentes,31,MG
39,-0.6146788990825689,3529708,Miguelópolis,35,SP
40,-0.596330275229358,3131406,Ipiaçu,31,MG
41,-0.5596330275229358,3111408,Campo Florido,31,MG
42,-0.5504587155963305,3122306,Divinópolis,31,MG
43,-0.5412844036697249,3109808,Cachoeira Dourada,31,MG
44,-0.4862385321100917,3150604,Piracema,31,MG
45,-0.4495412844036699,3149606,Pequi,31,MG
46,-0.4220183486238529,3112604,Capinópolis,31,MG
47,-0.3944954128440368,3107000,Biquinhas,31,MG
48,-0.3669724770642202,3103504,Araguari,31,MG
49,-0.33944954128440363,3149200,Pedrinópolis,31,MG
50,-0.30275229357798183,3146909,Papagaios,31,MG
51,-0.2844036697247705,3512100,Colômbia,35,SP
52,-0.2844036697247705,3129103,Gurinhatã,31,MG
53,-0.2660550458715596,3505906,Batatais,35,SP
