,score,ibge,nom,codigo_uf,uf
0,-5.618882054025141,4322343,Ubiretama,43,RS
1,-4.653918159935811,4308656,Garruchos,43,RS
2,-4.504680395827762,4305454,Cidreira,43,RS
3,-4.503075688686815,4304002,Campo Novo,43,RS
4,-4.411072479272533,3136900,Juruaia,31,MG
5,-4.397432468574485,3522158,Itaóca,35,SP
6,-4.3484889007756085,3143104,Monte Carmelo,31,MG
7,-4.281626103236159,4200101,Abelardo Luz,42,SC
8,-4.27921904252474,4113759,Lunardelli,41,PR
9,-4.242578229473121,3140001,Mariana,31,MG
10,-4.199786039047874,4312054,Marques de Souza,43,RS
11,-4.18213426049746,4323770,Westfália,43,RS
12,-4.1746456271730406,2312700,Senador Pompeu,23,CE
13,-4.097084782027281,3505203,Bariri,35,SP
14,-4.095747526076491,3507456,Borebi,35,SP
15,-4.020058839261835,4313391,Novo Cabrais,43,RS
16,-4.017919229740572,2207009,Oeiras,22,PI
17,-4.016314522599625,4317954,Santo Expedito do Sul,43,RS
18,-4.0152447178389945,5106281,Novo São Joaquim,51,MT
19,-4.0093607916555225,4316451,Salto do Jacuí,43,RS
20,-4.0008023535704735,2411809,São Fernando,24,RN
21,-3.981278416688954,3554607,Timburi,35,SP
22,-3.96362663813854,1302702,Manicoré,13,AM
23,-3.904519925113666,4309506,Guarani das Missões,43,RS
24,-3.8815191227600963,4215075,Riqueza,42,SC
25,-3.8756351965766243,3102001,Alterosa,31,MG
26,-3.872425782294731,4312427,Mormaço,43,RS
27,-3.8130516180797005,4301073,Arroio do Padre,43,RS
28,-3.8069002407060712,3510906,Cássia dos Coqueiros,35,SP
29,-3.805562984755282,4305702,Condor,43,RS
30,-3.7996790585718108,4302600,Braga,43,RS
31,-3.7638405990906656,4114609,Marechal Cândido Rondon,41,PR
32,-3.758759026477668,3530003,Mira Estrela,35,SP
33,-3.6996523134527948,4109500,Guaraqueçaba,41,PR
34,-3.692698582508692,2902708,Barra,29,BA
35,-3.6426852099491844,3503950,Aspásia,35,SP
36,-3.62744049211019,4307831,Eugênio de Castro,43,RS
37,-3.6258357849692433,4311502,Lavras do Sul,43,RS
38,-3.604974592136935,4303673,Campestre da Serra,43,RS
39,-3.602834982615672,3128709,Guaxupé,31,MG
40,-3.589997325488099,4102109,Astorga,41,PR
41,-3.5787643755014713,4302584,Bozano,43,RS
42,-3.5119015779620217,3152907,Pratápolis,31,MG
43,-3.5108317732013905,2912202,Ibicoara,29,BA
44,-3.5065525541588656,1301704,Humaitá,13,AM
45,-3.490505482749398,4312757,Nova Alvorada,43,RS
46,-3.4878309708478206,4306601,Dom Pedrito,43,RS
47,-3.481412142284033,4315107,Porto Xavier,43,RS
48,-3.4658999732548814,4119608,Pitanga,41,PR
49,-3.4584113399304623,2512309,Princesa Isabel,25,PB
50,-3.442096817330837,3555901,Uru,35,SP
51,-3.3851297138272267,4315800,Roca Sales,43,RS
52,-3.381385397165017,4312609,Muçum,43,RS
53,-3.364268520994919,4301206,Arroio do Tigre,43,RS
54,-3.3514308638673445,3148004,Patos de Minas,31,MG
55,-3.350628510296871,4202701,Botuverá,42,SC
56,-3.3471516448248195,4322103,Tucunduva,43,RS
57,-3.33377908531693,4311627,Lindolfo Collor,43,RS
58,-3.328964963894089,4300208,Ajuricaba,43,RS
59,-3.326290451992511,4100707,Alto Piquiri,41,PR
60,-3.3150575020058834,4101408,Apucarana,41,PR
61,-3.3006151377373634,1503903,Juruti,15,PA
62,-3.2786841401444238,4216354,São João do Itaperiú,42,SC
63,-3.269858250869216,3546108,Santa Clara d'Oeste,35,SP
64,-3.2647766782562186,4302303,Bom Jesus,43,RS
65,-3.2567531425514846,4317004,Santana da Boa Vista,43,RS
66,-3.253543728269591,5219704,Santa Terezinha de Goiás,52,GO
67,-3.246589997325488,5212204,Jussara,52,GO
68,-3.236426852099491,4322152,Tunas,43,RS
69,-3.2342872425782296,4203303,Campo Alegre,42,SC
70,-3.2300080235357047,4314704,Planalto,43,RS
71,-3.225193902112865,4118402,Paranavaí,41,PR
72,-3.22091468307034,4319307,São Paulo das Missões,43,RS
73,-3.217705268788446,4101507,Arapongas,41,PR
74,-3.2174378175982885,3542800,Ribeira,35,SP
75,-3.188285637871088,4315131,Pouso Novo,43,RS
76,-3.1802621021663544,2403707,Felipe Guerra,24,RN
77,-3.1791922974057236,4315321,Quevedos,43,RS
78,-3.1604707140946777,4322558,Vanini,43,RS
79,-3.1454934474458414,4305801,Constantina,43,RS
80,-3.1428189355442635,2917334,Iuiú,29,BA
81,-3.1267718641347955,4320677,Sinimbu,43,RS
82,-3.126236961754479,2511905,Pitimbu,25,PB
83,-3.1214228403316397,5102603,Campinápolis,51,MT
84,-3.1214228403316397,3522901,Itapuí,35,SP
85,-3.1192832308103773,5200605,Alto Paraíso de Goiás,52,GO
86,-3.115004011767853,4318432,São João do Polêsine,43,RS
87,-3.0989569403583843,4314605,Piratini,43,RS
88,-3.0949451725060175,4200408,Água Doce,42,SC
89,-3.087189087991441,2103406,Coelho Neto,21,MA
90,-3.0716769189622894,4301701,Barão de Cotegipe,43,RS
91,-3.064990639208344,3540309,Pontes Gestal,35,SP
92,-3.0497459213693503,5202502,Aruanã,52,GO
93,-3.0411874832843004,3144359,Naque,31,MG
94,-3.040652580903985,5214903,Nova Roma,52,GO
95,-3.0336988499598827,2706703,Penedo,27,AL
96,-3.0326290451992506,5105507,Vila Bela da Santíssima Trindade,51,MT
97,-3.026210216635464,5100201,Água Boa,51,MT
98,-3.0251404118748324,3137502,Lagoa Formosa,31,MG
99,-3.0123027547472585,4219002,Urussanga,42,SC
100,-3.0037443166622086,4311130,Jari,43,RS
101,-2.9893019523936886,4124103,Santo Antônio da Platina,41,PR
102,-2.9876972452527415,3145901,Ouro Branco,31,MG
103,-2.9834180262102166,1303569,Rio Preto da Eva,13,AM
104,-2.980208611928323,4123907,Santa Mariana,41,PR
105,-2.977534100026745,4115200,Maringá,41,PR
106,-2.9663011500401177,4311759,Manoel Viana,43,RS
107,-2.9663011500401177,4314464,Pinhal da Serra,43,RS
108,-2.960417223856646,5208905,Goiás,52,GO
109,-2.953998395292859,4110607,Iporã,41,PR
110,-2.9470446643487564,2929057,São Félix do Coribe,29,BA
111,-2.9443701524471786,5001904,Bataguassu,50,MS
112,-2.943835250066863,3128907,Guimarânia,31,MG
113,-2.9416956405456003,3301504,Cordeiro,33,RJ
114,-2.9416956405456003,4109401,Guarapuava,41,PR
115,-2.940090933404653,4127403,Terra Roxa,41,PR
116,-2.937951323883391,4316600,Sananduva,43,RS
117,-2.9368815191227604,3114550,Carneirinho,31,MG
118,-2.9342070072211826,3119302,Coromandel,31,MG
119,-2.9256485691361327,2313401,Tianguá,23,CE
120,-2.91869483819203,3166204,Senhora dos Remédios,31,MG
121,-2.912276009628243,4318002,São Borja,43,RS
122,-2.9079967905857185,2414001,Tangará,24,RN
123,-2.90532227868414,4104808,Cascavel,41,PR
124,-2.9047873763038243,2401651,Bodó,24,RN
125,-2.9037175715431935,2114007,Zé Doca,21,MA
126,-2.897031291789248,1501204,Baião,15,PA
127,-2.8956940358384595,4320263,Segredo,43,RS
128,-2.8844610858518323,2302800,Canindé,23,CE
129,-2.8780422572880453,3124807,Estrela do Sul,31,MG
130,-2.872693233484889,3129707,Ibiraci,31,MG
131,-2.872693233484889,4318606,São José do Ouro,43,RS
