,score,ibge,nom,codigo_uf,uf
0,-4.969010727056019,2111052,São João do Paraíso,21,MA
1,-4.761620977353993,2108108,Paulo Ramos,21,MA
2,-4.659117997616209,2103158,Centro do Guilherme,21,MA
3,-4.517044100119189,2103901,Duque Bacelar,21,MA
4,-4.502026221692491,2109007,Porto Franco,21,MA
5,-4.480333730631704,2106375,Maranhãozinho,21,MA
6,-4.437425506555424,2101806,Benedito Leite,21,MA
7,-4.385935637663885,2101772,Bela Vista do Maranhão,21,MA
8,-4.352562574493445,2104602,Governador Eugênio Barros,21,MA
9,-4.3253873659118005,2100550,Amapá do Maranhão,21,MA
10,-4.271513706793802,2105153,Igarapé do Meio,21,MA
11,-4.213349225268177,2111763,Senador La Rocque,21,MA
12,-4.198092967818832,2111532,São Pedro da Água Branca,21,MA
13,-4.194755661501788,2106201,Luís Domingues,21,MA
14,-4.19046483909416,2103174,Centro Novo do Maranhão,21,MA
15,-4.170441001191896,2110906,São Francisco do Maranhão,21,MA
16,-4.1661501787842665,2104073,Feira Nova do Maranhão,21,MA
17,-4.1628128724672235,1505403,Ourém,15,PA
18,-4.157568533969011,2112852,Vila Nova dos Martírios,21,MA
19,-4.154707985697258,2110807,São Félix de Balsas,21,MA
20,-4.096305125148987,2111102,São João dos Patos,21,MA
21,-4.092252681764005,2106706,Mirador,21,MA
22,-4.084862932061979,2105427,Itinga do Maranhão,21,MA
23,-4.031227651966627,1507409,São Francisco do Pará,15,PA
24,-4.0307508939213355,2111573,São Pedro dos Crentes,21,MA
25,-4.02264600715137,2106003,Lima Campos,21,MA
26,-4.017878426698451,2101905,Bequimão,21,MA
27,-4.01072705601907,2108801,Pirapemas,21,MA
28,-3.9976162097735397,4310009,Ibirubá,43,RS
29,-3.9661501787842663,1100338,Nova Mamoré,11,RO
30,-3.965196662693683,3106903,Bicas,31,MG
31,-3.9544696066746132,1502608,Colares,15,PA
32,-3.953039332538736,2107258,Nova Colinas,21,MA
33,-3.952324195470799,2101004,Arari,21,MA
34,-3.952085816448153,2110104,Santa Quitéria do Maranhão,21,MA
35,-3.9234803337306317,2101970,Boa Vista do Gurupi,21,MA
36,-3.9153754469606676,2111409,São Luís Gonzaga do Maranhão,21,MA
37,-3.8820023837902267,2104008,Esperantinópolis,21,MA
38,-3.8696066746126343,2103752,Davinópolis,21,MA
39,-3.862932061978546,2108702,Pio XII,21,MA
40,-3.8576877234803333,2105906,Lago Verde,21,MA
