,score,ibge,nom,codigo_uf,uf
0,-3.6452258433390505,4117800,Palmital,41,PR
1,-3.6103487707261293,4104659,Carambeí,41,PR
2,-3.6097770154373925,4122008,Rio Azul,41,PR
3,-3.5949113779302455,4101606,Arapoti,41,PR
4,-3.592052601486564,4119400,Piraí do Sul,41,PR
5,-3.5903373356203545,4112108,Jandaia do Sul,41,PR
6,-3.573184676958262,4103602,Cambará,41,PR
7,-3.5617495711835336,5211305,Itarumã,52,GO
8,-3.549170954831332,2806602,Santo Amaro das Brotas,28,SE
9,-3.5400228702115495,1600501,Oiapoque,16,AP
10,-3.5263007432818756,3204500,Santa Leopoldina,32,ES
11,-3.5022870211549457,4215455,Sangão,42,SC
12,-3.4885648942252714,4108502,General Carneiro,41,PR
13,-3.4668381932532877,3200805,Baixo Guandu,32,ES
14,-3.4599771297884505,3302106,Itaocara,33,RJ
15,-3.4514008004574044,5217104,Piracanjuba,52,GO
16,-3.4514008004574044,1506609,Santa Maria do Pará,15,PA
17,-3.426815323041738,4206900,Ibirama,42,SC
18,-3.4216695254431104,4213203,Pomerode,42,SC
19,-3.3822184105202973,2307254,Jijoca de Jericoacoara,23,CE
20,-3.381646655231561,5103858,Gaúcha do Norte,51,MT
21,-3.3587764436821037,2803005,Itabaianinha,28,SE
22,-3.320468839336764,3202306,Guaçuí,32,ES
23,-3.3067467124070897,3142601,Monsenhor Paulo,31,MG
24,-3.3061749571183534,5201504,Aporé,52,GO
25,-3.29073756432247,4309050,Glorinha,43,RS
26,-3.2895940537449975,3125002,Ewbank da Câmara,31,MG
27,-3.261006289308176,4323101,Vicente Dutra,43,RS
28,-3.257004002287021,4127205,Terra Boa,41,PR
29,-3.2564322469982847,4126306,Sengés,41,PR
30,-3.251286449399657,4210605,Massaranduba,42,SC
31,-3.247284162378502,4314472,Pinhal Grande,43,RS
32,-3.23642081189251,3165552,Setubinha,31,MG
33,-3.2341337907375647,4216909,São Lourenço do Oeste,42,SC
34,-3.2192681532304177,4205456,Forquilhinha,42,SC
35,-3.200971983990852,5103254,Colniza,51,MT
36,-3.2004002287021156,4315073,Porto Vera Cruz,43,RS
37,-3.187821612349914,2504900,Cruz do Espírito Santo,25,PB
38,-3.1718124642652943,2310852,Pindoretama,23,CE
39,-3.1649514008004576,5101407,Aripuanã,51,MT
40,-3.1575185820468836,3133501,Itapecerica,31,MG
41,-3.1518010291595195,3202207,Fundão,32,ES
42,-3.1432246998284734,4319158,São Miguel das Missões,43,RS
43,-3.1403659233847914,1507904,Soure,15,PA
44,-3.132933104631218,4317905,Santo Cristo,43,RS
45,-3.1214979988564893,2103158,Centro do Guilherme,21,MA
46,-3.0877644368210406,3201001,Boa Esperança,32,ES
47,-3.0814751286449398,4305124,Cerrito,43,RS
48,-3.0734705546026304,4323200,Victor Graeff,43,RS
49,-3.068896512292739,4105409,Chopinzinho,41,PR
50,-3.067753001715266,2401206,Arês,24,RN
51,-3.064894225271584,2613404,São José da Coroa Grande,26,PE
52,-3.0580331618067467,2106375,Maranhãozinho,21,MA
53,-3.050028587764437,4216107,São Domingos,42,SC
54,-3.0494568324757005,5002902,Cassilândia,50,MS
55,-3.0443110348770728,4315552,Rio dos Índios,43,RS
56,-3.020297312750143,4122156,Rio Bonito do Iguaçu,41,PR
57,-3.0197255574614066,4106605,Cruzeiro do Oeste,41,PR
58,-3.001429388221841,2202075,Cajazeiras do Piauí,22,PI
