,score,ibge,nom,codigo_uf,uf
0,-4.888939359527595,5206602,Cumari,52,GO
1,-4.647285941403589,5205521,Colinas do Sul,52,GO
2,-4.404269816034522,1711951,Lagoa do Tocantins,17,TO
3,-4.3261412673177375,5222302,Vila Propício,52,GO
4,-4.154894390188508,5107156,Reserva do Cabaçal,51,MT
5,-4.140358846241199,5205471,Chapadão do Céu,52,GO
6,-4.125369066545537,5002803,Caracol,50,MS
7,-3.8932545991369523,3167301,Silveirânia,31,MG
8,-3.858278446513741,1503754,Jacareacanga,15,PA
9,-3.8278446513740634,5220207,São Miguel do Araguaia,52,GO
10,-3.734272087213264,5107305,São José do Rio Claro,51,MT
11,-3.722916193504429,3115201,Conceição da Barra de Minas,31,MG
12,-3.7174653645241884,5201504,Aporé,52,GO
13,-3.7174653645241884,5105101,Juara,51,MT
14,-3.687940040881217,1301654,Guajará,13,AM
15,-3.6466045877810584,3103306,Aracitaba,31,MG
16,-3.622984328866681,5106307,Paranatinga,51,MT
17,-3.6075403134226667,5004304,Iguatemi,50,MS
18,-3.5712014535543952,5212204,Jussara,52,GO
19,-3.5607540313422668,2515401,São Vicente do Seridó,25,PB
20,-3.5375880081762436,3166105,Senhora do Porto,31,MG
21,-3.528049057460822,5201207,Anhanguera,52,GO
22,-3.5262321144674087,1300201,Atalaia do Norte,13,AM
23,-3.5112423347717465,5107750,Salto do Céu,51,MT
24,-3.4971610265727913,3150604,Piracema,31,MG
25,-3.465364524188053,5218003,Porangatu,52,GO
26,-3.431751078809902,3166204,Senhora dos Remédios,31,MG
27,-3.4140358846241203,2201051,Assunção do Piauí,22,PI
28,-3.4131274131274134,5007950,Tacuru,50,MS
29,-3.389507154213036,1303700,Santo Antônio do Içá,13,AM
30,-3.3681580740404273,5205000,Carmo do Rio Verde,52,GO
31,-3.328639563933682,3144201,Nacip Raydan,31,MG
32,-3.325459913695208,5221858,Valparaíso de Goiás,52,GO
33,-3.3041108335225986,2508703,Mãe d'Água,25,PB
34,-3.3000227117874177,3127503,Gonzaga,31,MG
35,-3.2972972972972974,3171402,Vieiras,31,MG
36,-3.2652736770383832,2910404,Encruzilhada,29,BA
37,-3.2346127640245284,3170602,Vargem Bonita,31,MG
38,-3.2314331137860552,2403806,Florânia,24,RN
39,-3.223711106064047,1303304,Novo Aripuanã,13,AM
40,-3.2168975698387468,5108600,Vila Rica,51,MT
41,-3.216443334090393,3121308,Descoberto,31,MG
42,-3.1905518964342496,1506708,Santana do Araguaia,15,PA
43,-3.1782875312287073,3149408,Pedro Teixeira,31,MG
44,-3.1719282307517602,4213104,Piratuba,42,SC
45,-3.151941857824211,2904902,Cachoeira,29,BA
46,-3.1260504201680677,5103353,Confresa,51,MT
